Plant Scientific Name stringFilter,Plant Common Name stringFilter,Image imageType,Contaminants Csvfilteror,Accumlation Quantity (if known) csvFilterOr,Accumlation Type (if known) csvFilterOr,Source for Phyto ,Notes ,Search All stringFilter - Hidden
Triticum aestivum,Common Wheat,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/7efbca0f-412c-4f05-9be7-cca0c49e39f9/CommonWheat.jpg?content-type=image%2Fjpeg,Strontium,Accumulator,Phytoextraction,"1) Joseph L. Fiegl, Bryan P. McDonnell, Jill A. Kostel, Mary E. Finster, and Dr. Kimberly Gray, Northwestern University
 2) http://www.flickr.com/photos/dag_endresen/4190570128/ (Photo Source) 
 3) Salehi-Lisar SY, Deljoo S, Harzandi AM. Fluorene and Phenanthrene Uptake and Accumulation by Wheat, Alfalfa and Sunflower from the Contaminated Soil. Int J Phytoremediation. 2015;17(12):1145-1152. doi:10.1080/15226514.2015.1045123
 4)Zhao H, Guan Y, Qu B. PFCA uptake and translocation in dominant wheat species (Triticum aestivum L.). Int J Phytoremediation. 2018;20(1):68-74. doi:10.1080/15226514.2017.1337066
 5) Shtangeeva I, PerÃ¤mÃ¤ki P, NiemelÃ¤ M, Kurashov E, Krylova Y. Potential of wheat (Triticum aestivum L.) and pea (Pisum sativum) for remediation of soils contaminated with bromides and PAHs. Int J Phytoremediation. 2018;20(6):560-566. doi:10.1080/15226514.2017.1405375
 6) Qi L, Qin X, Li FM, et al. Uptake and distribution of stable strontium in 26 cultivars of three crop species: oats,",Hardiness zone 6-7.,
Tulbaghia violacea,Society Garlic,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003","Perennial, Bulb, Fern. hardiness zones: 7 - 11",
Typha angustifolia,Narrow-Leaf Cattail,,Atrazine,Accumulator/Tolerant,,"1) Chayapan P, Kruatrachue M, Meetam M, Pokethitiyook P. Effects of Amendments on Growth and Uptake of Cd and Zn by Wetland Plants, Typha angustifolia and Colocasia esculenta from Contaminated Sediments. Int J Phytoremediation. 2015;17(9):900-906. doi:10.1080/15226514.2014.989310
 2) (Phyto Textbook) Marecik, R., Bialas, W., Cyplik, P., Lawniczak, L., and Chrzanowski, L. 2012. Phytoremediation Potential of Three Wetland Plant Species Toward Atrazine in Environmentally Relevant Concentrations. Polish Journal of Environmental Studies. 21 (3), pp. 697-702.",,
Typha latifolia,Broad-Leaved Cattail,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/6f9f8672-5ca4-4bc4-a1d2-c9cf696419a6/BroadLeavedCattail.jpg?content-type=image%2Fjpeg,Landfill Leachate,Accumulator/Tolerant,"Rhizodegradation, Phytodesalination, Phytostabilization","1) The University of Texas. http://wildflower.org/explore/
 2) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 Ã¢â‚¬Â¢ McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 3) USDA NRCS Plant Materials Center, Manhattan, Kansas & Kansas State University, Forestry Researchhttp://plants.usda.gov/factsheet/pdf/fs_sani.pdf (Source for Nickel, PAH, and Silver)
 4) http://www.flickr.com/photos/52421717@N00/3687555600/ (Photo Source)
 5) (Phyto Textbook) Marecik, R., Bialas, W., Cyplik, P., Lawniczak, L., and Chrzanowski, L. 2012. Phytoremediation Potential of Three Wetland Plant Species Toward Atrazine in Environmentally Relevant Concentrations. Polish Journal of Environmental Studies. 21 (3), pp. 697-702.rn
 6",Hardiness zone 2-11,
Typha latifolia L.,Cattail,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/3332377f-14c8-41b9-a1f8-ad462b4d3b09/Cattail.jpg?content-type=image%2Fjpeg,"Arsenic, Lead, Plutonium",Hyperaccumulator,"Phytoextraction Of Arsenic, Phytostablization Of Arsenic And Lead","1) http://wikipedia.org/wiki/hyperaccumulators_table_%E2%80%93Ã‚Â¬Ã‚Â¬Ã‚Â¬_3- Lead, plutonium
 2) U.S Environmental Protection Agency (EPA). Phytoremediation field studies database for chlorinated solvents, pesticides, explosives, and metals. http://www.afcee.af.mil/shared/media/document/AFD-071130-018.pdf (Lead and Arsenic source)
 3) http://www.flickr.com/photos/salim/175848879/ (Photo Source)",Hardiness zone 3,
Typha angustifolia,Narrow Leaved Cattail,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/3c84b041-2a11-44ca-a0b0-54cfc8c544a9/NarrowLeavedCattail.jpg?content-type=image%2Fjpeg,"Ammonia, Nitrate, Nitrogen",N/A,N/A,"1) Heronswood (2011). www.heronswood.com/index.cfm
 2) http://www.flickr.com/photos/rusty_clark/5897712973/ (Photo Source)",Woody Plant. Many wetland and several upland species. High wildlife value for waterfowl and songbirds. Hardiness Zones: 3-11,
Ulex europaeus,Gorse,,Lead (Highest Bf),Accumulator,Phytostabilization,"(Phyto Textbook) Gomes, P., Valente, T., Pamplona, J., Sequeira Braga, M. A., Pissarra, J., Grande Gil, J.A., and De La Torre, M.L. 2013. Metal uptake by native plants and revegetation potential of mining sulfide-rich waste-dumps. International Journal of Phytoremediation 16, pp. 1087-1103.",,
Urochlea brizantha cvs. Xaraes and Marandu,Palisade Grass,,Zinc,Accumulator,Phytoextraction,"Nardis BO, Silva EB, Grazziotti PH, Alleoni LRF, Melo LCA, Farnezi MMM. Availability and zinc accumulation in forage grasses grown in contaminated soil. Int J Phytoremediation. 2018;20(3):205-213. doi:10.1080/15226514.2017.1365347",,
Urtica procera,Tall Nettle,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/9c140173-f4d0-471a-ba44-2b47c0936634/TallNettle.jpg?content-type=image%2Fjpeg,"Polychlorinated Biphenyl (Pcb), Polycyclic Aromatic Hydrocarbon (Pah)",N/A,Rhizodegradation,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2)http://www.flickr.com/photos/lacatholique/5591428042/(Photo Source)",USDA plant hardiness zones 4 to 8.,
Uvaria chamae,Finger Root,,Petroleum Hydrocarbons,Accumulator/Tolerant,Phytodegradation,"Anyasi RO, Atagana HI. Profiling of plants at petroleum contaminated site for phytoremediation. Int J Phytoremediation. 2018;20(4):352-361. doi:10.1080/15226514.2017.1393386",,
Vallisneria natans,Straight Vallisneria,,Arsenic,Accumulator,Indicator,"Chen G, Liu X, Brookes PC, Xu J. Opportunities for Phytoremediation and Bioindication of Arsenic Contaminated Water Using a Submerged Aquatic Plant:Vallisneria natans (lour.) Hara. Int J Phytoremediation. 2015;17(1-6):249-255. doi:10.1080/15226514.2014.883496",,
Vallisneria natans Hara,,,"Arsenic, Cadmium, Copper, Nickel, Lead, Zinc",Hyperaccumulator,,"Lu G, Wang B, Zhang C, et al. Heavy metals contamination and accumulation in submerged macrophytes in an urban river in China. Int J Phytoremediation. 2018;20(8):839-846. doi:10.1080/15226514.2018.1438354",,
Vallisneria spiralis,Tape Grass,,"Cadmium, Chromium, Copper, Lead",Accumulator,"Rhizodegradation, Phytoextraction","1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf",Accumulator of radionuclides. Native to Europe and North Africa. Widely cultivated in the aquarium trade.,
Verbasam olympicum,Mullein,,Nickel,Accumulator/Tolerant,,"Akpinar, Ay?egÃ¼l, et al. â€œNi-Induced Changes in Nitrate Assimilation and Antioxidant Metabolism OfVerbascum OlympicumBoiss.: Could the Plant Be Useful for Phytoremediation or/and Restoration Purposes?â€ International Journal of Phytoremediation, vol. 17, no. 6, 2014, pp. 546â€“555., doi:10.1080/15226514.2014.922926.",,
Veronica spicata,Veronica Spicata,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003","Perennial, Bulb, Fern. Variety: Sunny Blue Border. USDA Hardiness Zone 6-9",
Vetiveria nigritana,Black Vetivergrass,,"Chromium, Zinc, Lead, Iron, Manganese, Magnesium",Accumulator,Evapotranspiration?,"Badejo AA, Sridhar MK, Coker AO, Ndambuki JM, Kupolati WK. Phytoremediation of Water Using Phragmites karka and Veteveria nigritana in Constructed Wetland. Int J Phytoremediation. 2015;17(9):847-852. doi:10.1080/15226514.2014.964849",,
Vetiveria zizanioides,Vetiver,,Thallium,Accumulator,Phytoextraction,"Sasmaz M, Akgul B, Y?ld?r?m D, Sasmaz A. Bioaccumulation of thallium by the wild plants grown in soils of mining area. Int J Phytoremediation. 2016;18(11):1164-1170. doi:10.1080/15226514.2016.1183582",,
Viburnum awabuki,Viburnum,,"Copper, Lead, Cadmium",Accumulator/Tolerant,,"Kang W, Bao J, Zheng J, Xu F, Wang L. Phytoremediation of heavy metal contaminated soil potential by woody plants on Tonglushan ancient copper spoil heap in China. Int J Phytoremediation. 2018;20(1):1-7. doi:10.1080/15226514.2014.950412",,
Viburnum obovatum dentata,Compact Walter's Viburnum,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Hardiness zone 6-9.,
Viburnum odoratissimum,Sweet Viburnum,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Variety: Spring Bouquet. USDA hardiness zones: 9 through 11.,
Vicia Americana,American Vetch,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/36dd1c41-c2eb-4dd7-b0b4-3279ade4964d/AmericanVetch.jpg?content-type=image%2Fjpeg,"Nitrogen, Phosphorus, Potassium",N/A,N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) http://www.flickr.com/photos/joannej/5878979763/(Photo Source)","Process: Uptake, Growth Rate: Moderate, Mature height of 1.3Ã¢â‚¬â„¢; Duration, Growth Habit: Vine, Herb/Forb, Drought Tolerance: High; Moisture Use: Low; Salinity Tolerance: None; Shade Tolerance: Intolerant; Habitat: Fields, thickets, and open woods; pr",
Vicia faba,Horse Bean,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/5d70cb61-b0f6-4c58-b2b1-7f64a9315a13/HorseBean.jpg?content-type=image%2Fjpeg,Aluminum,Accumulator,N/A,"1) Grauer & Horst 1990; McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf. pg 891 
 2) http://www.flickr.com/photos/37226114@N02/3733186965/(Photo Source)",A-100 milligrams per kilogram of dry weight. USDA Hardiness Zone: 4 to 11,
Vicia grandiflora,Vetch,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/733e690a-8379-4cc3-a9eb-f1ce56e0d03c/Vetch.jpg?content-type=image%2Fjpeg,Aluminum,N/A,N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) http://www.flickr.com/photos/badalley/3692296433/ (Photo Source)",Uptakes nutrients and metals,
Vigna mungo,Black Gram,,Chromium,Tolerant,Phytoextraction,"Padmapriya S, Murugan N, Ragavendran C, Thangabalu R, Natarajan D. Phytoremediation potential of some agricultural plants on heavy metal contaminated mine waste soils, salem district, tamilnadu. Int J Phytoremediation. 2016;18(3):288-294. doi:10.1080/15226514.2015.1085832",,
Vigna radiata,Mung Bean,,"Zinc, Copper, Cadmium",Accumulator,,"Murtaza G, Javed W, Hussain A, Qadir M, Aslam M. Soil-applied zinc and copper suppress cadmium uptake and improve the performance of cereals and legumes. Int J Phytoremediation. 2017;19(2):199-206. doi:10.1080/15226514.2016.1207605",,
Vinca rose w/ Bacillus megaterium,Vinca,,Nickel,Tolerant,Phytoextraction,"Khan WU, Ahmad SR, Yasin NA, Ali A, Ahmad A, Akram W. Application of Bacillus megaterium MCR-8 improved phytoextraction and stress alleviation of nickel in Vinca rosea. Int J Phytoremediation. 2017;19(9):813-824. doi:10.1080/15226514.2017.1290580",,
Viola,Viola,,"Arsenic, Antimony, Thallium",Accumulator,Phytoaccumulation,"(Phyto Textbook) Baceva, K., Stafilov, T., and Matevski, V. 2013. Bioaccumulation of heavy metals by endemic Viola species from the soil in the vicinity of the As-Sb-Tl Mine ""Allchar"", Republic of Macedonia. International Journal of Phytoremediation 16, pp. 347-365.",,
Viola spp.,Violet,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/dbd17105-6cba-4943-9d28-e56323c27cb1/Violet.jpg?content-type=image%2Fjpeg,Cadmium,"Accumulator of Cadmium, Hyperaccumulator",Phytoextraction,"1) Institute for Environmental Research and education (IERE). (2003 January). Vashon Heavy Metal Phytoremediation Study Sampling and Analysis Strategy (DRAFT). http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2)http://www.flickr.com/photos/abysswriter/4876669851/ (Photo Source)",Accumulator of Cadmium. Perennial flowering plants with many varieties. Has been found to accumulate high concentrations of metals. USDA hardiness zones 4 through 9,
Vitex trifolia Linn. var. simplicifolia Cham,Simplelead Chastetree,,"Zinc, Lead, Copper",Accumulator,,"Shi X, Chen YT, Wang SF, et al. Phytoremediation potential of transplanted bare-root seedlings of trees for lead/zinc and copper mine tailings. Int J Phytoremediation. 2016;18(11):1155-1163. doi:10.1080/15226514.2016.1189399",,
Vossia cuspidata (Roxb.) Griff,Hippo Grass,,"Chromium, Copper, Lead, Aluminum, Cadmium, Zinc",Accumulator,Phytostabilization,"Galal TM, Gharib FA, Ghazi SM, Mansour KH. Phytostabilization of heavy metals by the emergent macrophyte Vossia cuspidata (Roxb.) Griff.: A phytoremediation approach. Int J Phytoremediation. 2017;19(11):992-999. doi:10.1080/15226514.2017.1303816",,
Washingtonia filifera,California Fan Palm,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Tree. Hardiness zone 8-11.,
Wigandia urens,"Stinging Wigandia, Fiberglass Plant",,Zinc,Accumulator,Phytoaccumulation,"(Phyto Textbook) Cortes-Jimenez, E., Mugica-Alvarez, V., Gonzalez-Chavez, M., Carrillo-Gonzalez, R., Gordillo, M., and Mier, M. 2013. Natural revegetation of alkaline tailing heaps at Taxco, Guerrero, Mexico. International Journal of Phytoremediatio15 (2), pp. 127-141.",,
Wrightia arborea,Woolly Dyeing Rosebay,,Arsenic,Accumulator,Tolerant,"Kumar D, Singh VP, Tripathi DK, Prasad SM, Chauhan DK. Effect of Arsenic on Growth, Arsenic Uptake, Distribution of Nutrient Elements and Thiols in Seedlings of Wrightia arborea (Dennst.) Mabb. Int J Phytoremediation. 2015;17(1-6):128-134. doi:10.1080/15226514.2013.862205",,
Xanthium strumarium,Rough Cocklebur,,Salinity,Accumulator,Phytoextraction,"Devi S, Nandwal AS, Angrish R, Arya SS, Kumar N, Sharma SK. Phytoremediation potential of some halophytic species for soil salinity. Int J Phytoremediation. 2016;18(7):693-696. doi:10.1080/15226514.2015.1131229",,
Yucca hesperaloe parvifolia,Red Yucca,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. USDA Hardiness Zone: 7-10,
Yucca recurvifolia,Yucca,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Variety: Soft Leaf Yucca. Cold hardiness zones: 7 - 9.,
Zea Maize,Maize,,Copper,"Accumulator, Hyperaccumulator","Phytoextraction, Phytodegradation","1) (Phyto Textbook) Mukherjee, I., and Kumar, A. 2012. Phytoextraction of endosulfan a remediation technique. Bulletin of Environmental Contamination and Toxicology 88 (2), pp. 250-254.
 2) Broadhurst CL, Chaney RL, Davis AP, et al. Growth and Cadmium Phytoextraction by Swiss Chard, Maize, Rice, Noccaea caerulescens, and Alyssum murale in Ph Adjusted Biosolids Amended Soils. Int J Phytoremediation. 2015;17(1-6):25-39. doi:10.1080/15226514.2013.828016
 3) Putwattana N, Kruatrachue M, Kumsopa A, Pokethitiyook P. Evaluation of organic and inorganic amendments on maize growth and uptake of cd and zn from contaminated paddy soils. Int J Phytoremediation. 2015;17(1-6):165-174. doi:10.1080/15226514.2013.876962
 4) Liao, Changjun, et al. â€œAccumulation of Hydrocarbons by Maize (Zea MaysL.) in Remediation of Soils Contaminated with Crude Oil.â€ International Journal of Phytoremediation, vol. 17, no. 7, 2015, pp. 693â€“700., doi:10.1080/15226514.2014.964840.
 5) Fu, Yanzhao, et al. â€œPermeability of",,
Zea Maize,Common Corn,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/51900846-bfbf-4b4d-b368-34e64eaf443f/CommonCorn.jpg?content-type=image%2Fjpeg,"Arsenic, Cadmium, Cobalt, Formaldehyde, Lead, Nickel, Polychlorinated Biphenyl (Pcb), Polycyclic Aromatic Hydrocarbon (Pah)","Accumulator, Hyperaccumulator",Rhizodegradation,"1)McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) http://www.flickr.com/photos/msvg/4962390365/ (Photo Source)",Accumulates lower ring PAHÃ¢â‚¬â„¢s much more efficiently than the complex 4 or 5 ring PAH varieties. Corn also brings a unique visual element to the design as it looks unlike any other plants on the site. Hardiness zone 3-9.,
Zostera marina,Eel Grass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/56d7d28b-a1ed-4ade-ba51-eeb699ca786a/EelGrass.jpg?content-type=image%2Fjpeg,Cadmium,N/A,N/A,"1) McCutcheon & Schnoor 2003, Phytoremediation. New Jersey, John Wiley & Sons pg 891
 2) http://www.flickr.com/photos/pembleton/2884446011/(Photo Source)",37 records of plants; origin India,
